All_All1 "150.251.006.000/24"
All_All2 "150.251.104.000/28"
All_All3 "150.251.104.032/28"
All_All4 "150.251.104.048/28"
All_1 "10.000.000.000/16"
All_2 "10.017.192.000/20"
All_3 "10.240.000.000/16"
All_4 "10.255.128.000/21"
APAC_AU-BDW1 "10.168.004.000/22"
APAC_AU-BLK1 "10.192.128.000/20"
APAC_AU-BUN1 "10.168.000.000/24"
APAC_CN-BAO1 "10.178.112.000/20"
APAC_CN-CHG1 "10.136.040.000/21"
APAC_CN-CSH1 "10.136.024.000/21"
APAC_CN-FEN1 "10.179.096.000/21"
APAC_CN-FEN2 "10.193.080.000/20"
APAC_CN-FZH1 "10.179.112.000/21"
APAC_CN-FZJ1 "10.179.128.000/20"
APAC_CN-GUA1 "10.178.064.000/20"
APAC_CN-LYG1 "10.178.160.000/20"
APAC_CN-PEK1 "10.178.016.000/20"
APAC_CN-QUZ1 "10.178.192.000/20"
APAC_CN-RHC1 "10.178.144.000/20"
APAC_CN-SHA1 "10.176.096.000/20"
APAC_CN-SHA2 "10.176.112.000/20"
APAC_CN-SHA3 "10.179.192.000/18"
APAC_CN-SHA4 "10.240.017.000/24"
APAC_CN-SHA5 "192.168.216.000/24"
APAC_CN-SHA6 "192.168.240.000/22"
APAC_CN-SHE1 "10.136.060.000/24"
APAC_CN-TAO1 "10.179.048.000/21"
APAC_CN-ZJA1 "10.178.096.000/20"
APAC_HH-HKB1 "10.017.248.000/21"
APAC_HK-HKB1 "10.017.112.000/20"
APAC_HK-HKB2 "10.018.160.000/19"
APAC_HK-HKB3 "150.251.000.000/24"
APAC_ID-JAK1 "10.179.028.000/22"
APAC_ID-SUK1 "10.179.024.000/22"
APAC_IN-MUM1 "10.179.000.000/20"
APAC_IN-PAI1 "10.140.000.000/20"
APAC_IN-PAL1 "10.140.024.000/22"
APAC_IN-PAL2 "10.140.024.000/22"
APAC_IN-PAN1 "10.140.028.000/22"
APAC_IN-ROH1 "10.179.016.000/22"
APAC_IN-THA1 "10.178.224.000/22"
APAC_IN-VAD1 "10.140.032.000/20"
APAC_JP-ANA1 "10.177.240.000/20"
APAC_JP-FUJ1 "10.056.010.000/24"
APAC_JP-KAW1 "10.056.032.000/22"
APAC_JP-KOB1 "10.176.080.000/22"
APAC_JP-TOO1 "10.056.016.000/21"
APAC_JP-TOO2 "10.240.028.000/24"
APAC_KR-GUS1 "10.177.148.000/22"
APAC_KR-GUS2 "10.177.152.000/22"
APAC_KR-ONA1 "10.144.016.000/20"
APAC_KR-ONS1 "10.177.112.000/20"
APAC_KR-SEL1 "10.177.144.000/22"
APAC_KR-SEU1 "10.144.032.000/20"
APAC_KR-SEU2 "10.240.029.000/24"
APAC_NZ-LVN1 "10.184.096.000/20"
APAC_SG-AMN1 "10.176.016.000/21"
APAC_SG-AMN2 "10.176.032.000/19"
APAC_SG-AMN3 "10.240.016.000/24"
APAC_SG-AMN4 "192.168.186.000/24"
APAC_SG-AMN5 "192.168.244.000/22"
APAC_SG-JGI1 "10.176.064.000/21"
APAC_SG-SGB1 "10.017.144.000/20"
APAC_SG-SGB2 "10.017.240.000/21"
APAC_SG-SGB3 "10.018.128.000/19"
APAC_SG-SGB4 "150.251.001.000/24"
APAC_SG-SGB5 "172.029.163.128/27"
APAC_TH-BAN1 "10.060.016.000/21"
APAC_TH-BAN2 "10.240.030.000/24"
APAC_TH-HMA1 "10.192.064.000/20"
APAC_TH-MPH1 "10.060.072.000/21"
APAC_TH-MPP1 "10.060.080.000/21"
APAC_TH-SAM1 "10.176.224.000/20"
APAC_TW-TAP1 "10.148.000.000/22"
APAC_VN-HCC1 "10.179.020.000/22"
APAC_ZZ-AGC1 "10.053.009.000/24"
APAC_ZZ-AGC2 "10.060.008.137/32"
APAC_ZZ-AGC3 "10.060.008.141/32"
APAC_ZZ-AGC4 "172.018.087.000/24"
APAC_ZZ-AGC5 "172.018.118.000/23"
APAC_ZZ-AGC6 "172.018.120.000/23"
APAC_ZZ-AGC7 "172.018.224.000/20"
EMEA_AT-EBN1 "10.036.056.000/21"
EMEA_BE-ARI1 "10.116.000.000/23"
EMEA_BE-ARI2 "150.251.104.128/28"
EMEA_BE-ARI3 "150.251.104.192/28"
EMEA_BE-EDE1 "10.250.032.167/32"
EMEA_BE-EDE2 "10.250.036.000/26"
EMEA_BE-IBM1 "10.016.006.000/24"
EMEA_BE-IBM2 "10.020.001.000/24"
EMEA_BE-IBM3 "10.020.002.000/23"
EMEA_BE-IBM4 "10.020.004.000/22"
EMEA_BE-IBM5 "10.020.008.000/23"
EMEA_BE-IBM6 "10.030.000.000/22"
EMEA_BE-IBM7 "10.050.028.000/22"
EMEA_BE-IBM8 "150.251.105.000/28"
EMEA_BE-IBM9 "150.251.105.016/30"
EMEA_BE-IBM10 "150.251.105.032/28"
EMEA_BE-IBM11 "150.251.105.128/26"
EMEA_BE-IBM12 "150.251.106.064/26"
EMEA_BE-IBM13 "150.251.111.000/24"
EMEA_BE-IBM14 "150.251.112.000/21"
EMEA_BE-IBM15 "150.251.124.000/22"
EMEA_BE-IBM16 "172.016.016.000/23"
EMEA_BE-JEM1 "10.116.160.000/22"
EMEA_BE-KAL1 "10.116.240.000/21"
EMEA_BE-KTN1 "10.250.032.085/32"
EMEA_BE-KTN2 "10.250.032.086/31"
EMEA_BE-KTN3 "10.250.032.088/32"
EMEA_BE-MAI1 "10.116.010.000/23"
EMEA_BE-MAI2 "10.240.018.000/24"
EMEA_BE-MB11 "10.116.004.000/24"
EMEA_BE-MB21 "10.116.005.000/24"
EMEA_BE-MB31 "10.116.006.000/24"
EMEA_BE-MB41 "10.116.007.000/24"
EMEA_BE-NOH1 "10.116.064.000/18"
EMEA_BE-NOH2 "10.223.064.000/24"
EMEA_BE-NOH3 "10.240.000.000/22"
EMEA_BE-NOH4 "150.251.096.000/21"
EMEA_BE-NOH5 "150.251.105.240/28"
EMEA_BE-NOH6 "150.251.106.032/27"
EMEA_BE-NOH7 "150.251.106.128/25"
EMEA_BE-NOH8 "192.168.208.000/24"
EMEA_BE-NOH9 "192.168.248.000/22"
EMEA_BE-OUD1 "10.116.224.000/20"
EMEA_BE-PUU1 "10.250.032.079/32"
EMEA_BE-PUU2 "10.250.032.080/31"
EMEA_BE-PUU3 "10.250.032.082/32"
EMEA_BE-PUU4 "10.250.032.092/32"
EMEA_BE-WAL1 "10.116.008.000/24"
EMEA_BE-ZVT1 "10.116.248.000/21"
EMEA_BG-DEV1 "10.044.016.000/21"
EMEA_BG-DEV2 "10.240.019.000/24"
EMEA_BG-DEV3 "150.251.240.000/21"
