EMEA_DE-OES1 "10.080.032.000/20"
EMEA_DE-OES2 (10.080.032.000/20)
EMEA_DE-OES3 "164.084.183.000/24"
EMEA_GB-HEA1 "10.001.240.000/20"
EMEA_GB-WAV1 "10.001.032.000/20"
EMEA_GB-WAV2 "172.016.052.000/22"
EMEA_GB-WRX1 "10.080.080.000/21"
EMEA_GB-WRX2 "10.144.192.000/20"
EMEA_GB-WRX3 "164.084.178.000/24"
NAM_US-ANH1 "10.096.016.000/20"
NAM_US-ANH2 "164.084.176.000/23"
NAM_US-BEL1 "10.096.012.000/22"
NAM_US-GRV1 "10.096.064.000/20"
NAM_US-GRV2 "164.084.184.000/24"
NAM_US-GRV3 "164.084.192.000/24"
NAM_US-HVR1 "10.096.080.000/20"
NAM_US-HVR2 "164.084.152.000/24"
NAM_US-HVR3 "164.084.153.000/24"
NAM_US-HVR4 "164.084.154.000/24"
NAM_US-KAM1 "10.096.112.000/20"
NAM_US-LAS1 "10.237.000.000/20"
NAM_US-LAS2 "172.019.217.118/30"
NAM_US-LAS3 "172.019.217.122/30"
NAM_US-NYC1 "10.017.064.000/20"
NAM_US-NYC2 "10.017.080.000/20"
NAM_US-NYC3 "10.017.206.000/24"
NAM_US-NYC4 "10.017.224.000/21"
NAM_US-NYC5 "10.018.064.000/19"
NAM_US-NYC6 "10.251.000.000/24"
NAM_US-NYC7 "150.251.003.000/24"
NAM_US-NYC8 "150.251.008.000/23"
NAM_US-NYC9 "172.029.163.064/27"
NAM_US-ORN1 "10.096.208.000/20"
NAM_US-ORN2 "164.084.181.000/24"
NAM_US-PIE1 "10.096.224.000/20"
NAM_US-PIE2 "164.084.220.000/23"
NAM_US-PLY1 "10.113.000.000/16"
NAM_US-PLY2 "10.233.000.000/20"
NAM_US-PLY3 "172.021.213.158/30"
NAM_US-PLY4 "172.021.213.162/30"
NAM_US-RCK1 "10.096.240.000/20"
NAM_US-RCK2 "164.084.222.000/23"
NAM_US-SFS1 "10.122.016.000/20"
NAM_US-SUM1 "172.016.021.192/27"
NAM_US-TEM1 "10.096.004.000/22"
NAM_US-TEM2 "10.136.016.000/21"
NAM_US-TEM3 "164.084.180.000/24"
NAM_US-TUA1 "10.116.032.000/20"
NAM_US-TUL1 "172.016.021.096/27"
NAM_US-WIA1 "10.097.064.000/20"
NAM_US-WIA2 "164.084.182.000/24"
NAM_US-xxx1 "10.112.000.000/16"
NAM_US-xxx2 "10.114.000.000/16"
NAM_US-xxx3 "10.117.000.000/16"
NAM_US-xxx4 "10.118.000.000/16"
